"lb x","lb y","lcline x","lcline y","cline x","cline y","rcline x","rcline y","rb x","rb y","theta"
0,0,1.85,0,3.7,0,5.55,0,7.4,0,1.570796327
0.007605915,0.600385329,1.857012205,0.553519808,3.706418494,0.506654286,5.555824783,0.459788765,7.405231073,0.412923243,1.545460902
0.03041878,1.200385301,1.878044318,1.106684339,3.725669857,1.012983377,5.573295395,0.919282414,7.420920933,0.825581452,1.520125478
0.068423951,1.799614807,1.913082841,1.659138546,3.757741731,1.518662285,5.602400621,1.378186023,7.447059511,1.237709762,1.494790053
0.121597036,2.397689231,1.962105284,2.210527835,3.802613532,2.02336644,5.64312178,1.836205044,7.483630029,1.649043648,1.469454628
0.189903904,2.9942247,2.025080181,2.760498299,3.860256459,2.526771898,5.695432737,2.293045498,7.530609014,2.059319097,1.444119204
0.273300713,3.588838327,2.101967113,3.308696938,3.930633513,3.02855555,5.759299913,2.748414162,7.587966313,2.468272773,1.418783779
0.371733936,4.18114846,2.19271673,3.854771893,4.013699524,3.528395325,5.834682318,3.202018758,7.655665112,2.87564219,1.393448354
0.485140392,4.770774926,2.297270784,4.398372664,4.109401175,4.025970402,5.921531566,3.65356814,7.733661958,3.281165877,1.36811293
0.613447293,5.357339273,2.415562166,4.939150342,4.21767704,4.520961412,6.019791914,4.102772481,7.821906788,3.684583551,1.342777505
0.756572283,5.940465015,2.547514953,5.47675783,4.338457623,5.013050645,6.129400293,4.54934346,7.920342962,4.085636276,1.317442081
0.914423499,6.519777872,2.693044449,6.010850064,4.4716654,5.501922255,6.25028635,4.992994446,8.028907301,4.484066638,1.292106656
1.086899623,7.094906014,2.852057248,6.541084237,4.617214872,5.987262459,6.382372496,5.433440682,8.147530121,4.879618904,1.266771231
1.273889953,7.665480295,3.024451286,7.067120019,4.775012619,6.468759743,6.525573951,5.870399467,8.276135284,5.272039191,1.241435807
1.475274468,8.231134492,3.210115913,7.588619775,4.944957357,6.946105057,6.679798802,6.303590339,8.414640246,5.661075621,1.216100382
1.69092391,8.791505541,3.408931959,8.105248779,5.126940009,7.418992017,6.844948058,6.732735256,8.562956107,6.046478494,1.190764957
1.920699865,9.346233766,3.620771816,8.616675434,5.320843768,7.887117102,7.020915719,7.15755877,8.720987671,6.428000438,1.165429533
2.16445485,9.894963117,3.845499514,9.122571481,5.526544177,8.350179846,7.207588841,7.57778821,8.888633504,6.805396574,1.140094108
2.422032412,10.43734139,4.08297081,9.622612212,5.743909209,8.807883031,7.404847607,7.993153851,9.065786005,7.17842467,1.114758684
2.693267225,10.97302047,4.333033286,10.11647667,5.972799346,9.259932882,7.612565407,8.403389091,9.252331467,7.546845299,1.089423259
2.977985197,11.50165651,4.595526437,10.60384788,6.213067677,9.706039251,7.830608917,8.80823062,9.448150157,7.910421989,1.064087834
3.276003582,12.02291023,4.870281784,11.08441302,6.464559985,10.1459158,8.058838187,9.207418592,9.653116388,8.26892138,1.03875241
3.587131097,12.53644704,5.157122974,11.55786363,6.72711485,10.57928021,8.297106726,9.600696787,9.867098603,8.622113368,1.013416985
3.911168045,13.04193735,5.455865898,12.02389583,7.000563751,11.0058543,8.545261604,9.987812782,10.08995946,8.969771258,0.98808156
4.247906443,13.5390567,5.76631881,12.4822105,7.284731176,11.4253643,8.803143542,10.3685181,10.32155591,9.311671906,0.962746136
4.597130156,14.02748601,6.088282444,12.93251347,7.579434731,11.83754094,9.070587018,10.7425684,10.56173931,9.647595863,0.937410711
4.958615035,14.50691179,6.421550148,13.37451572,7.884485261,12.24211965,9.347420375,11.10972358,10.81035549,9.977327516,0.912075287
5.33212906,14.97702631,6.765908015,13.80793354,8.19968697,12.63884077,9.633465926,11.469748,11.06724488,10.30065523,0.886739862
5.717432492,15.43752784,7.121135019,14.23248875,8.524837546,13.02744965,9.928540073,11.82241056,11.3322426,10.61737147,0.861404437
6.114278025,15.8881208,7.487003158,14.64790884,8.859728291,13.40769688,10.23245342,12.16748492,11.60517856,10.92727296,0.836069013
6.522410943,16.32851598,7.863277599,15.05392718,9.204144255,13.77933838,10.54501091,12.50474958,11.88587757,11.23016078,0.810733588
6.941569286,16.75843071,8.249716831,15.45028317,9.557864376,14.14213562,10.86601192,12.83398808,12.17415947,11.52584053,0.785398163
7.371484018,17.17758906,8.646072818,15.8367224,9.920661618,14.49585574,11.19525042,13.15498909,12.46983922,11.81412243,0.760062739
7.811879198,17.58572198,9.05209116,16.21299684,10.29230312,14.84027171,11.53251508,13.46754658,12.77272704,12.09482144,0.734727314
8.262472159,17.98256751,9.467511253,16.57886498,10.67255035,15.17516245,11.87758944,13.77145993,13.08262853,12.3677574,0.70939189
8.722973689,18.36787094,9.89206646,16.93409198,11.06115923,15.50031303,12.230252,14.06653407,13.39934477,12.63275512,0.684056465
9.193088214,18.74138497,10.32548428,17.27844985,11.45788035,15.81551474,12.59027642,14.35257963,13.72267248,12.88964451,0.65872104
9.672513991,19.10286984,10.76748653,17.61171756,11.86245906,16.12056527,12.9574316,14.62941298,14.05240414,13.13826069,0.633385616
10.1609433,19.45209356,11.2177895,17.93368119,12.2746357,16.41526882,13.3314819,14.89685646,14.38832809,13.37844409,0.608050191
10.65806265,19.78883195,11.67610417,18.2441341,12.6941457,16.69943625,13.71218722,15.1547384,14.73022874,13.61004054,0.582714766
11.16355296,20.1128689,12.14213637,18.54287703,13.12071979,16.97288515,14.09930321,15.40289327,15.07788663,13.8329014,0.557379342
11.67708977,20.42399642,12.61558698,18.82971822,13.5540842,17.23544001,14.49258141,15.64116181,15.43107862,14.04688361,0.532043917
12.19834349,20.7220148,13.09615212,19.10447356,13.99396075,17.48693232,14.89176938,15.86939108,15.78957801,14.25184984,0.506708493
12.72697953,21.00673277,13.58352333,19.36696671,14.44006712,17.72720065,15.29661091,16.08743459,16.1531547,14.44766853,0.481373068
13.26265861,21.27796759,14.07738779,19.61702919,14.89211697,17.95609079,15.70684615,16.29515239,16.52157533,14.634214,0.456037643
13.80503688,21.53554515,14.57742852,19.85450049,15.34982015,18.17345582,16.12221179,16.49241116,16.89460343,14.8113665,0.430702219
14.35376623,21.77930014,15.08332457,20.07922818,15.8128829,18.37915623,16.54244123,16.67908428,17.27199956,14.97901233,0.405366794
14.90849446,22.00907609,15.59475122,20.29106804,16.28100798,18.57305999,16.96726474,16.85505194,17.65352151,15.13704389,0.380031369
15.46886551,22.22472553,16.11138023,20.48988409,16.75389494,18.75504264,17.39640966,17.0202012,18.03892438,15.28535975,0.354695945
16.0345197,22.42611005,16.63287998,20.67554871,17.23124026,18.92498738,17.82960053,17.17442605,18.42796081,15.42386472,0.32936052
16.60509399,22.61310038,17.15891576,20.84794275,17.71273754,19.08278513,18.26655932,17.3176275,18.8203811,15.55246988,0.304025096
17.18022213,22.7855765,17.68914994,21.00695555,18.19807774,19.2283346,18.70700555,17.44971365,19.21593336,15.6710927,0.278689671
17.75953499,22.94342772,18.22324217,21.15248505,18.68694935,19.36154238,19.15065654,17.57059971,19.61436372,15.77965704,0.253354246
18.34266073,23.08655271,18.76084966,21.28443783,19.17903859,19.48232296,19.59722752,17.68020809,20.01541645,15.87809321,0.228018822
18.92922507,23.21485961,19.30162734,21.40272922,19.6740296,19.59059883,20.04643186,17.77846843,20.41883412,15.96633804,0.202683397
19.51885154,23.32826606,19.84522811,21.50728327,20.17160467,19.68630048,20.49798124,17.86531768,20.82435781,16.04433489,0.177347972
20.11116167,23.42669929,20.39130306,21.59803289,20.67144445,19.76936649,20.95158584,17.94070009,21.23172723,16.11203369,0.152012548
20.7057753,23.5100961,20.9395017,21.67491982,21.1732281,19.83974354,21.4069545,18.00456726,21.6406809,16.16939099,0.126677123
21.30231077,23.57840296,21.48947216,21.73789472,21.67663356,19.89738647,21.86379496,18.05687822,22.05095635,16.21636997,0.101341699
21.90038519,23.63157605,22.04086145,21.78691716,22.18133772,19.94225827,22.32181398,18.09759938,22.46229024,16.25294049,0.076006274
22.4996147,23.66958122,22.59331566,21.82195568,22.68701662,19.97433014,22.78071759,18.12670461,22.87441855,16.27907907,0.050670849
23.09961467,23.69239408,23.14648019,21.8429878,23.19334571,19.99358151,23.24021124,18.14417522,23.28707676,16.29476893,0.025335425
23.7,23.7,23.7,21.85,23.7,20,23.7,18.15,23.7,16.3,0
23.7,23.7,23.7,21.85,23.7,20,23.7,18.15,23.7,16.3,0
24.72040816,23.7,24.72040816,21.85,24.72040816,20,24.72040816,18.15,24.72040816,16.3,0
25.74081633,23.7,25.74081633,21.85,25.74081633,20,25.74081633,18.15,25.74081633,16.3,0
26.76122449,23.7,26.76122449,21.85,26.76122449,20,26.76122449,18.15,26.76122449,16.3,0
27.78163265,23.7,27.78163265,21.85,27.78163265,20,27.78163265,18.15,27.78163265,16.3,0
28.80204082,23.7,28.80204082,21.85,28.80204082,20,28.80204082,18.15,28.80204082,16.3,0
29.82244898,23.7,29.82244898,21.85,29.82244898,20,29.82244898,18.15,29.82244898,16.3,0
30.84285714,23.7,30.84285714,21.85,30.84285714,20,30.84285714,18.15,30.84285714,16.3,0
31.86326531,23.7,31.86326531,21.85,31.86326531,20,31.86326531,18.15,31.86326531,16.3,0
32.88367347,23.7,32.88367347,21.85,32.88367347,20,32.88367347,18.15,32.88367347,16.3,0
33.90408163,23.7,33.90408163,21.85,33.90408163,20,33.90408163,18.15,33.90408163,16.3,0
34.9244898,23.7,34.9244898,21.85,34.9244898,20,34.9244898,18.15,34.9244898,16.3,0
35.94489796,23.7,35.94489796,21.85,35.94489796,20,35.94489796,18.15,35.94489796,16.3,0
36.96530612,23.7,36.96530612,21.85,36.96530612,20,36.96530612,18.15,36.96530612,16.3,0
37.98571429,23.7,37.98571429,21.85,37.98571429,20,37.98571429,18.15,37.98571429,16.3,0
39.00612245,23.7,39.00612245,21.85,39.00612245,20,39.00612245,18.15,39.00612245,16.3,0
40.02653061,23.7,40.02653061,21.85,40.02653061,20,40.02653061,18.15,40.02653061,16.3,0
41.04693878,23.7,41.04693878,21.85,41.04693878,20,41.04693878,18.15,41.04693878,16.3,0
42.06734694,23.7,42.06734694,21.85,42.06734694,20,42.06734694,18.15,42.06734694,16.3,0
43.0877551,23.7,43.0877551,21.85,43.0877551,20,43.0877551,18.15,43.0877551,16.3,0
44.10816327,23.7,44.10816327,21.85,44.10816327,20,44.10816327,18.15,44.10816327,16.3,0
45.12857143,23.7,45.12857143,21.85,45.12857143,20,45.12857143,18.15,45.12857143,16.3,0
46.14897959,23.7,46.14897959,21.85,46.14897959,20,46.14897959,18.15,46.14897959,16.3,0
47.16938776,23.7,47.16938776,21.85,47.16938776,20,47.16938776,18.15,47.16938776,16.3,0
48.18979592,23.7,48.18979592,21.85,48.18979592,20,48.18979592,18.15,48.18979592,16.3,0
49.21020408,23.7,49.21020408,21.85,49.21020408,20,49.21020408,18.15,49.21020408,16.3,0
50.23061224,23.7,50.23061224,21.85,50.23061224,20,50.23061224,18.15,50.23061224,16.3,0
51.25102041,23.7,51.25102041,21.85,51.25102041,20,51.25102041,18.15,51.25102041,16.3,0
52.27142857,23.7,52.27142857,21.85,52.27142857,20,52.27142857,18.15,52.27142857,16.3,0
53.29183673,23.7,53.29183673,21.85,53.29183673,20,53.29183673,18.15,53.29183673,16.3,0
54.3122449,23.7,54.3122449,21.85,54.3122449,20,54.3122449,18.15,54.3122449,16.3,0
55.33265306,23.7,55.33265306,21.85,55.33265306,20,55.33265306,18.15,55.33265306,16.3,0
56.35306122,23.7,56.35306122,21.85,56.35306122,20,56.35306122,18.15,56.35306122,16.3,0
57.37346939,23.7,57.37346939,21.85,57.37346939,20,57.37346939,18.15,57.37346939,16.3,0
58.39387755,23.7,58.39387755,21.85,58.39387755,20,58.39387755,18.15,58.39387755,16.3,0
59.41428571,23.7,59.41428571,21.85,59.41428571,20,59.41428571,18.15,59.41428571,16.3,0
60.43469388,23.7,60.43469388,21.85,60.43469388,20,60.43469388,18.15,60.43469388,16.3,0
61.45510204,23.7,61.45510204,21.85,61.45510204,20,61.45510204,18.15,61.45510204,16.3,0
62.4755102,23.7,62.4755102,21.85,62.4755102,20,62.4755102,18.15,62.4755102,16.3,0
63.49591837,23.7,63.49591837,21.85,63.49591837,20,63.49591837,18.15,63.49591837,16.3,0
64.51632653,23.7,64.51632653,21.85,64.51632653,20,64.51632653,18.15,64.51632653,16.3,0
65.53673469,23.7,65.53673469,21.85,65.53673469,20,65.53673469,18.15,65.53673469,16.3,0
66.55714286,23.7,66.55714286,21.85,66.55714286,20,66.55714286,18.15,66.55714286,16.3,0
67.57755102,23.7,67.57755102,21.85,67.57755102,20,67.57755102,18.15,67.57755102,16.3,0
68.59795918,23.7,68.59795918,21.85,68.59795918,20,68.59795918,18.15,68.59795918,16.3,0
69.61836735,23.7,69.61836735,21.85,69.61836735,20,69.61836735,18.15,69.61836735,16.3,0
70.63877551,23.7,70.63877551,21.85,70.63877551,20,70.63877551,18.15,70.63877551,16.3,0
71.65918367,23.7,71.65918367,21.85,71.65918367,20,71.65918367,18.15,71.65918367,16.3,0
72.67959184,23.7,72.67959184,21.85,72.67959184,20,72.67959184,18.15,72.67959184,16.3,0
73.7,23.7,73.7,21.85,73.7,20,73.7,18.15,73.7,16.3,0
