lb x,lb y,lcline x,lcline y,cline x,cline y,rcline x,rcline y,rb x,rb y,theta
283.9649651,-180.2254408,285.6764137,-179.5229854,287.3878624,-178.8205301,289.099311,-178.1180747,290.8107597,-177.4156193,1.96027437
280.708853,-171.0530536,282.4525409,-170.4349497,284.1962288,-169.8168457,285.9399167,-169.1987418,287.6836046,-168.5806378,1.911457396
276.460403,-159.2911681,278.2003789,-158.6626907,279.9403548,-158.0342133,281.6803308,-157.4057359,283.4203067,-156.7772585,1.917412855
272.5736837,-148.0147077,274.322726,-147.4119216,276.0717683,-146.8091355,277.8208105,-146.2063493,279.5698528,-145.6035632,1.902686201
268.1096924,-134.4098388,269.8675043,-133.8331262,271.6253161,-133.2564135,273.383128,-132.6797009,275.1409398,-132.1029882,1.887816458
262.1780048,-118.6514852,263.9095378,-118.000107,265.6410708,-117.3487289,267.3726038,-116.6973507,269.1041368,-116.0459726,1.93060621
254.3575862,-94.2857149,256.1191795,-93.72065819,257.8807728,-93.15560148,259.642366,-92.59054477,261.4039593,-92.02548806,1.881192666
248.4694024,-77.56474383,250.2144214,-76.9504081,251.9594405,-76.33607236,253.7044596,-75.72173663,255.4494787,-75.1074009,1.909297158
241.8564908,-57.5614245,243.6130137,-56.98079778,245.3695365,-56.40017105,247.1260594,-55.81954433,248.8825823,-55.2389176,1.890043945
234.5387625,-36.24973531,236.2884952,-35.64895627,238.0382279,-35.04817722,239.7879606,-34.44739818,241.5376934,-33.84661914,1.901538884
232.4939367,-27.43957781,234.2969707,-27.02536947,236.1000046,-26.61116113,237.9030386,-26.19695279,239.7060726,-25.78274445,1.796606868
231.8244449,-17.00221066,233.6712091,-16.89283864,235.5179732,-16.78346662,237.3647373,-16.6740946,239.2115015,-16.56472258,1.629950831
231.8876534,-6.643548749,233.7376096,-6.656277393,235.5875658,-6.669006038,237.4375221,-6.681734682,239.2874783,-6.694463327,1.563915924
233.1740581,4.792750143,235.0120811,4.582580146,236.8501041,4.372410149,238.6881271,4.162240153,240.5261501,3.952070156,1.456945124
234.2075518,14.23579711,236.0465696,14.03451745,237.8855874,13.83323779,239.7246052,13.63195813,241.563623,13.43067847,1.461780708
237.8457517,24.75200436,239.5885727,24.13146051,241.3313938,23.51091666,243.0742149,22.89037281,244.817036,22.26982896,1.228735636
242.0311567,36.5421087,243.7745631,35.92321128,245.5179696,35.30431386,247.261376,34.68541645,249.0047824,34.06651903,1.229680172
246.4291605,46.25103883,248.1133585,45.48554723,249.7975564,44.72005564,251.4817543,43.95456404,253.1659522,43.18907245,1.144194872
253.092821,55.75587148,254.6014732,54.68513884,256.1101255,53.61440619,257.6187777,52.54367354,259.1274299,51.47294089,0.953571338
258.8980271,64.44365283,260.4360853,63.41560762,261.9741435,62.38756242,263.5122017,61.35951722,265.05026,60.33147202,0.981591496
267.4974982,73.3528361,268.8221135,72.06136627,270.1467288,70.76989645,271.4713441,69.47842663,272.7959594,68.18695681,0.798067364
273.3096318,78.6895821,274.5598603,77.32597347,275.8100889,75.96236483,277.0603175,74.5987562,278.3105461,73.23514757,0.742048476
279.243829,83.07582612,280.3390791,81.58487767,281.4343292,80.09392921,282.5295792,78.60298076,283.6248293,77.11203231,0.633571747
287.3860195,88.67100897,288.433484,87.14610955,289.4809484,85.62121013,290.5284128,84.0963107,291.5758773,82.57141128,0.601884716
294.9043672,93.24361287,295.8646422,91.66235643,296.8249171,90.08109999,297.7851921,88.49984355,298.7454671,86.91858711,0.545759683
306.5953666,100.4706577,307.5681127,98.89704243,308.5408588,97.32342717,309.5136049,95.7498119,310.486351,94.17619663,0.553665579
320.736509,108.9582763,321.6885374,107.3720412,322.6405659,105.7858061,323.5925944,104.199571,324.5446228,102.6133359,0.540552716
331.3340947,115.7153139,332.3285217,114.1553091,333.3229487,112.5953043,334.3173757,111.0352995,335.3118027,109.4752948,0.567502957
340.9162124,121.294817,341.8466833,119.6958411,342.7771542,118.0968653,343.7076251,116.4978894,344.6380961,114.8989135,0.527016894
356.3979621,130.8023089,357.3659942,129.2257894,358.3340264,127.6492699,359.3020585,126.0727504,360.2700906,124.4962309,0.550672716
366.6849756,137.5674116,367.7012643,136.02156,368.717553,134.4757084,369.7338418,132.9298568,370.7501305,131.3840051,0.581580467
381.7588335,146.1963622,382.6772613,144.5904387,383.595689,142.9845151,384.5141168,141.3785916,385.4325446,139.772668,0.519501466
393.0708289,153.8100048,394.102721,152.2745249,395.1346131,150.7390449,396.1665052,149.203565,397.1983974,147.668085,0.591708085
404.1198184,160.1914963,405.0439806,158.5888658,405.9681427,156.9862353,406.8923048,155.3836049,407.8164669,153.7809744,0.523075881
415.3360863,167.1584103,416.3119887,165.5867505,417.287891,164.0150907,418.2637934,162.4434309,419.2396958,160.8717711,0.555672575
425.6473168,173.5384294,426.6207277,171.9652253,427.5941386,170.3920211,428.5675494,168.818817,429.5409603,167.2456128,0.554088076
434.3555481,179.6563592,435.4181601,178.1419762,436.4807722,176.6275933,437.5433842,175.1132104,438.6059963,173.5988275,0.611852526
441.5069859,185.5409461,442.6808411,184.1110636,443.8546963,182.6811811,445.0285515,181.2512986,446.2024067,179.8214161,0.687382576
446.1368911,190.9196271,447.5303477,189.7027545,448.9238042,188.4858819,450.3172607,187.2690093,451.7107172,186.0521367,0.852943396
450.7475894,196.3231013,452.1548531,195.122223,453.5621169,193.9213447,454.9693806,192.7204664,456.3766444,191.5195881,0.86436483
453.5674147,201.1153589,455.1532746,200.1627055,456.7391345,199.2100522,458.3249944,198.2573988,459.9108543,197.3047455,1.029849625
455.6853385,205.1125268,457.3190659,204.2445206,458.9527933,203.3765144,460.5865207,202.5085082,462.2202481,201.640502,1.082420121
457.9659644,209.3745912,459.5971171,208.5017562,461.2282698,207.6289212,462.8594224,206.7560862,464.4905751,205.8832512,1.079462094
460.3178728,214.5563254,462.0014531,213.7894763,463.6850333,213.0226272,465.3686136,212.2557781,467.0521938,211.488929,1.143388697
462.9474393,220.715171,464.6487372,219.988476,466.3500351,219.2617811,468.0513329,218.5350861,469.7526308,217.8083911,1.167113184
464.6947646,225.720032,466.4404423,225.1075703,468.18612,224.4951086,469.9317977,223.882647,471.6774754,223.2701853,1.233369241
466.6886112,230.711362,468.4061693,230.0239799,470.1237274,229.3365977,471.8412854,228.6492156,473.5588435,227.9618334,1.190109818
468.2889912,235.0695588,470.0254008,234.4312941,471.7618103,233.7930294,473.4982199,233.1547647,475.2346295,232.5165,1.218549085
470.4325616,241.2064664,472.1790398,240.5962911,473.925518,239.9861158,475.6719962,239.3759405,477.4184744,238.7657652,1.234678674
472.3532092,246.1671995,474.0781541,245.4985701,475.803099,244.8299408,477.5280438,244.1613114,479.2529887,243.4926821,1.201004574
475.3151242,253.1424404,477.0177805,252.418934,478.7204368,251.6954276,480.4230931,250.9719212,482.1257494,250.2484148,1.168986629
478.4009494,258.5023121,479.9998778,257.5717598,481.5988063,256.6412074,483.1977348,255.7106551,484.7966633,254.7801027,1.043728504
481.7867608,264.159593,483.3741408,263.2094747,484.9615208,262.2593565,486.5489009,261.3092383,488.1362809,260.3591201,1.03144744
485.6096099,269.7643629,487.1369192,268.7204154,488.6642285,267.6764679,490.1915378,266.6325204,491.718847,265.588573,0.971216145
489.8534751,274.9737819,491.2853892,273.8024059,492.7173034,272.6310298,494.1492175,271.4596537,495.5811316,270.2882776,0.885146318
492.9827328,278.0524747,494.273037,276.7267239,495.5633412,275.4009732,496.8536454,274.0752224,498.1439496,272.7494716,0.771849366
497.0652795,281.3192174,498.2159442,279.8706075,499.3666089,278.4219975,500.5172736,276.9733876,501.6679383,275.5247777,0.671269973
502.142381,284.8667587,503.2002239,283.3490405,504.2580668,281.8313224,505.3159098,280.3136042,506.3737527,278.7958861,0.608706767
506.968067,287.7085214,507.9035723,286.1124857,508.8390775,284.5164501,509.7745828,282.9204144,510.7100881,281.3243787,0.530168273
511.5002796,289.8701072,512.2919112,288.1980368,513.0835428,286.5259664,513.8751744,284.853896,514.666806,283.1818256,0.442177966
518.1379098,292.5088118,518.8194567,290.7889299,519.5010035,289.0690479,520.1825503,287.349166,520.8640971,285.629284,0.377291354
525.4811028,294.9526219,526.0639273,293.1968271,526.6467519,291.4410323,527.2295765,289.6852374,527.8124011,287.9294426,0.320499132
531.4009996,297.2574762,532.0709433,295.5330414,532.7408871,293.8086066,533.4108308,292.0841718,534.0807745,290.359737,0.370553856
537.2860856,299.4055976,537.9202,297.6676681,538.5543143,295.9297386,539.1884287,294.1918091,539.8225431,292.4538796,0.349858123
543.7135261,302.2563286,544.4616199,300.564331,545.2097137,298.8723335,545.9578076,297.180336,546.7059014,295.4883385,0.416295415
547.6605204,304.3960501,548.5381321,302.7674625,549.4157438,301.1388748,550.2933555,299.5102872,551.1709672,297.8816995,0.49426495
552.5075507,307.1631883,553.4244456,305.5563891,554.3413405,303.9495898,555.2582355,302.3427906,556.1751304,300.7359914,0.518547239
556.8871692,309.8249706,557.8475731,308.2437925,558.807977,306.6626143,559.7683809,305.0814362,560.7287848,303.500258,0.5458412
560.5630763,312.5588835,561.6622226,311.070805,562.7613689,309.5827266,563.8605152,308.0946482,564.9596615,306.6065697,0.636187518
564.3569223,316.0612862,565.6064092,314.6969979,566.855896,313.3327096,568.1053829,311.9684213,569.3548698,310.604133,0.741504686
567.4631327,319.7910129,568.8772211,318.5981784,570.2913096,317.405344,571.705398,316.2125096,573.1194864,315.0196752,0.870066973
570.238544,324.2870727,571.8059973,323.3044283,573.3734506,322.3217838,574.9409039,321.3391394,576.5083572,320.3564949,1.010828243
572.4966845,328.2390035,574.1023501,327.3201249,575.7080157,326.4012462,577.3136813,325.4823676,578.9193469,324.5634889,1.051014069
574.7278852,333.1976961,576.4126807,332.4335206,578.0974761,331.6693451,579.7822716,330.9051696,581.4670671,330.1409941,1.144976168
576.7461717,339.2409394,578.4991714,338.649761,580.2521711,338.0585825,582.0051708,337.467404,583.7581705,336.8762255,1.245535516
578.0728092,344.3699596,579.8630622,343.9035969,581.6533152,343.4372342,583.4435682,342.9708715,585.2338212,342.5045088,1.315959053
579.2663957,350.1696847,581.0781163,349.7952937,582.8898368,349.4209027,584.7015574,349.0465117,586.5132779,348.6721207,1.36701535
579.8277365,355.9678263,581.6685063,355.7832544,583.509276,355.5986824,585.3500457,355.4141104,587.1908155,355.2295385,1.470861443
580.6437969,362.7741015,582.4806185,362.5536787,584.3174402,362.3332559,586.1542618,362.1128331,587.9910835,361.8924103,1.451365152
581.8125145,369.1537832,583.6318546,368.8183711,585.4511948,368.4829589,587.270535,368.1475467,589.0898752,367.8121345,1.388484177
582.465524,375.7468555,584.306173,375.5610836,586.146822,375.3753117,587.987471,375.1895398,589.82812,375.0037679,1.470209549
583.427765,382.3405081,585.2582249,382.0723355,587.0886848,381.8041628,588.9191447,381.5359901,590.7496046,381.2678175,1.425325604
584.4152224,388.6474085,586.2429479,388.3611928,588.0706735,388.0749771,589.898399,387.7887613,591.7261245,387.5025456,1.415461195
585.8133165,394.4314721,587.6105731,393.9928734,589.4078297,393.5542747,591.2050862,393.115676,593.0023428,392.6770774,1.331436893
587.4848881,400.1984799,589.2614546,399.6824262,591.0380212,399.1663725,592.8145877,398.6503189,594.5911542,398.1342652,1.288097951
589.7976689,405.892641,591.5092959,405.1906203,593.2209229,404.4885996,594.9325498,403.7865789,596.6441768,403.0845583,1.181572254
593.3595035,413.3095947,595.0265393,412.5074155,596.6935752,411.7052363,598.360611,410.9030571,600.0276469,410.1008779,1.122300757
595.8594752,418.2685761,597.5113318,417.4355876,599.1631884,416.6025991,600.815045,415.7696107,602.4669016,414.9366222,1.103735291
599.4517198,423.7753309,600.997441,422.7588439,602.5431622,421.7423568,604.0888834,420.7258697,605.6346046,419.7093827,0.989087544
603.0202868,428.4492095,604.4888618,427.3241373,605.9574368,426.1990652,607.4260119,425.073993,608.8945869,423.9489208,0.917071955
606.9167672,433.1511958,608.3406892,431.9701174,609.7646111,430.789039,611.1885331,429.6079605,612.612455,428.4268821,0.878351589
611.3382044,437.4911302,612.6297291,436.1665683,613.9212537,434.8420065,615.2127783,433.5174446,616.5043029,432.1928827,0.772770335
615.4159521,441.7871151,616.7571558,440.5128809,618.0983594,439.2386467,619.439563,437.9644125,620.7807667,436.6901783,0.810998004
620.620436,446.644622,621.8814136,445.2909473,623.1423912,443.9372725,624.4033689,442.5835977,625.6643465,441.2299229,0.749960045
